family,config,learner,fold,mae
time-domain,ae_features+vib_features,LightGBMModel,16,0.02263309850036761
time-domain,ae_features+vib_features,ShallowMLPModel,1,0.0651765689253807
time-domain,ae_features+vib_features,ShallowMLPModel,2,0.09105624258518219
time-domain,ae_features+vib_features,ShallowMLPModel,3,0.04002220928668976
time-domain,ae_features+vib_features,ShallowMLPModel,4,0.06875641644001007
time-domain,ae_features+vib_features,ShallowMLPModel,5,0.03992597013711929
time-domain,ae_features+vib_features,ShallowMLPModel,6,0.05971548706293106
time-domain,ae_features+vib_features,ShallowMLPModel,7,0.3295782208442688
time-domain,ae_features+vib_features,ShallowMLPModel,8,0.07417363673448563
time-domain,ae_features+vib_features,ShallowMLPModel,9,0.07358108460903168
time-domain,ae_features+vib_features,ShallowMLPModel,10,0.07657355070114136
time-domain,ae_features+vib_features,ShallowMLPModel,11,0.15234129130840302
time-domain,ae_features+vib_features,ShallowMLPModel,12,0.057675160467624664
time-domain,ae_features+vib_features,ShallowMLPModel,13,0.0666138306260109
time-domain,ae_features+vib_features,ShallowMLPModel,14,0.13399548828601837
time-domain,ae_features+vib_features,ShallowMLPModel,15,0.05101257562637329
time-domain,ae_features+vib_features,ShallowMLPModel,16,0.08431771397590637
process parameters,pp,RandomForestModel,1,0.25132947187361865
process parameters,pp,RandomForestModel,2,0.014688533382644453
process parameters,pp,RandomForestModel,3,0.009060551958534158
process parameters,pp,RandomForestModel,4,0.11613327789992636
process parameters,pp,RandomForestModel,5,0.12032083160296572
process parameters,pp,RandomForestModel,6,0.008132538559132058
process parameters,pp,RandomForestModel,7,0.27322322831954765
process parameters,pp,RandomForestModel,8,0.13320803079689708
process parameters,pp,RandomForestModel,9,0.009454411296985429
process parameters,pp,RandomForestModel,10,0.2760409469340692
process parameters,pp,RandomForestModel,11,0.010540434305152214
process parameters,pp,RandomForestModel,12,0.008339269025744656
process parameters,pp,RandomForestModel,13,0.005640000477433205
process parameters,pp,RandomForestModel,14,0.015999669699253892
process parameters,pp,RandomForestModel,15,0.011893063177133007
process parameters,pp,RandomForestModel,16,0.02028841631221543
process parameters,pp,RidgeRegressionModel,1,0.04764905199408531
process parameters,pp,RidgeRegressionModel,2,0.07224082201719284
process parameters,pp,RidgeRegressionModel,3,0.04465707018971443
process parameters,pp,RidgeRegressionModel,4,0.009323855862021446
process parameters,pp,RidgeRegressionModel,5,0.01704264059662819
process parameters,pp,RidgeRegressionModel,6,0.006439508404582739
process parameters,pp,RidgeRegressionModel,7,0.27325671911239624
process parameters,pp,RidgeRegressionModel,8,0.13852305710315704
process parameters,pp,RidgeRegressionModel,9,0.009493820369243622
process parameters,pp,RidgeRegressionModel,10,0.11170408874750137
process parameters,pp,RidgeRegressionModel,11,0.015785451978445053
process parameters,pp,RidgeRegressionModel,12,0.017527956515550613
process parameters,pp,RidgeRegressionModel,13,0.05000034719705582
process parameters,pp,RidgeRegressionModel,14,0.020893514156341553
process parameters,pp,RidgeRegressionModel,15,0.05105139687657356
process parameters,pp,RidgeRegressionModel,16,0.060707490891218185
process parameters,pp,LightGBMModel,1,0.006360908809941474
process parameters,pp,LightGBMModel,2,0.07351497135948266
process parameters,pp,LightGBMModel,3,0.010193150518109498
process parameters,pp,LightGBMModel,4,0.14915087870661137
process parameters,pp,LightGBMModel,5,0.08158691091594743
process parameters,pp,LightGBMModel,6,0.012666657004115973
