condition_id,y_true,y_pred_deterministic,y_pred,y_std,lower,upper,covered,abs_error,interval_width,checkpoint,checkpoint_sha256,fold
5,0.098,0.091124326,0.086547524,0.0071568624,0.07252008,0.10057497,True,0.011452474,0.028054893,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0926,0.09152406,0.08718234,0.006029257,0.075365,0.09899969,True,0.00541766,0.023634687,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.093,0.08930905,0.08778423,0.007519503,0.073046006,0.102522455,True,0.0052157715,0.029476449,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0962,0.091061614,0.0908904,0.006859602,0.07744558,0.10433522,True,0.0053095967,0.026889637,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0956,0.08939711,0.087971725,0.0073753437,0.07351605,0.1024274,True,0.007628277,0.028911352,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0912,0.089034766,0.08906568,0.0081214905,0.07314756,0.1049838,True,0.0021343231,0.03183624,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0942,0.090541795,0.088970125,0.006958388,0.07533169,0.10260856,True,0.0052298754,0.027276874,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.094,0.0897592,0.0885746,0.0076223905,0.073634714,0.10351449,True,0.0054253936,0.029879779,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
6,0.105,0.08915826,0.08773453,0.008760378,0.07056419,0.10490487,False,0.017265469,0.03434068,checkpoints/ResNetVibCNN_vib_spec_fold5_repeat0.pt,15df5705d44ed36baa9cc6eba49bb25988d7c6f63acd999b8785a543f0ad74d4,5
6,0.0878,0.09360971,0.0937111,0.009031931,0.07600851,0.11141369,True,0.005911097,0.035405174,checkpoints/ResNetVibCNN_vib_spec_fold5_repeat0.pt,15df5705d44ed36baa9cc6eba49bb25988d7c6f63acd999b8785a543f0ad74d4,5
6,0.0936,0.09449542,0.09363192,0.008117958,0.077720724,0.10954312,True,3.1925738e-05,0.0318224,checkpoints/ResNetVibCNN_vib_spec_fold5_repeat0.pt,15df5705d44ed36baa9cc6eba49bb25988d7c6f63acd999b8785a543f0ad74d4,5
6,0.0954,0.09043194,0.09028911,0.0073350305,0.075912446,0.10466577,True,0.0051108897,0.028753325,checkpoints/ResNetVibCNN_vib_spec_fold5_repeat0.pt,15df5705d44ed36baa9cc6eba49bb25988d7c6f63acd999b8785a543f0ad74d4,5
6,0.1012,0.09349644,0.09157276,0.0077974787,0.076289706,0.10685582,True,0.009627238,0.030566111,checkpoints/ResNetVibCNN_vib_spec_fold5_repeat0.pt,15df5705d44ed36baa9cc6eba49bb25988d7c6f63acd999b8785a543f0ad74d4,5
